Date,Open,High,Low,Close,AdjClose,Volume
28-12-2016,19964.31055,19981.10938,19827.31055,19833.67969,19833.67969,188350000
29-12-2016,19835.46094,19878.43945,19788.93945,19819.7793,19819.7793,172040000
30-12-2016,19833.16992,19852.55078,19718.66992,19762.59961,19762.59961,271910000
03-01-2017,19872.85938,19938.5293,19775.92969,19881.75977,19881.75977,339180000
04-01-2017,19890.93945,19956.14063,19878.83008,19942.16016,19942.16016,280010000
05-01-2017,19924.56055,19948.59961,19811.11914,19899.28906,19899.28906,269920000
06-01-2017,19906.96094,19999.63086,19834.08008,19963.80078,19963.80078,277700000
09-01-2017,19931.41016,19943.7793,19887.38086,19887.38086,19887.38086,287510000
10-01-2017,19876.34961,19957.11914,19836.0293,19855.5293,19855.5293,299410000
11-01-2017,19887.38086,19973.41992,19833.16016,19954.2793,19954.2793,336150000
12-01-2017,19926.21094,19929.28906,19770.4707,19891,19891,306290000
13-01-2017,19912.53906,19952.0293,19849.38086,19885.73047,19885.73047,263780000
17-01-2017,19848.82031,19882.99023,19775.34961,19826.76953,19826.76953,341900000
18-01-2017,19822.73047,19828.19922,19739,19804.7207,19804.7207,279760000
19-01-2017,19813.55078,19824.14063,19677.93945,19732.40039,19732.40039,301750000
20-01-2017,19795.06055,19843.93945,19759.14063,19827.25,19827.25,435260000
23-01-2017,19794.78906,19833.98047,19732.35938,19799.84961,19799.84961,326690000
24-01-2017,19794.67969,19949.24023,19786.71094,19912.71094,19912.71094,374460000
25-01-2017,19994.48047,20082,19994.48047,20068.50977,20068.50977,372240000
26-01-2017,20076.25,20125.58008,20067.5293,20100.91016,20100.91016,356730000
27-01-2017,20103.35938,20115.9707,20072.64063,20093.7793,20093.7793,343130000
30-01-2017,20028.61914,20028.61914,19870.39063,19971.13086,19971.13086,317280000
31-01-2017,19913.16016,19918.16992,19784.76953,19864.08984,19864.08984,373750000
01-02-2017,19923.81055,19967.73047,19845.99023,19890.93945,19890.93945,426670000
02-02-2017,19858.33984,19922.75,19831.08984,19884.91016,19884.91016,347220000
03-02-2017,19964.21094,20081.48047,19964.21094,20071.46094,20071.46094,344220000
06-02-2017,20025.60938,20094.94922,20002.81055,20052.41992,20052.41992,281720000
07-02-2017,20107.61914,20155.34961,20068.67969,20090.28906,20090.28906,279670000
08-02-2017,20049.28906,20068.2793,20015.33008,20054.33984,20054.33984,280410000
09-02-2017,20061.73047,20206.35938,20061.73047,20172.40039,20172.40039,325310000
10-02-2017,20211.23047,20298.21094,20204.75977,20269.36914,20269.36914,312230000
13-02-2017,20338.53906,20441.48047,20322.94922,20412.16016,20412.16016,314620000
14-02-2017,20374.2207,20504.41016,20374.01953,20504.41016,20504.41016,356580000
15-02-2017,20504.26953,20620.44922,20496.0293,20611.85938,20611.85938,384380000
16-02-2017,20627.31055,20639.86914,20556.83008,20619.76953,20619.76953,354120000
17-02-2017,20564.13086,20624.05078,20532.60938,20624.05078,20624.05078,340620000
21-02-2017,20663.42969,20757.64063,20663.36914,20743,20743,336880000
22-02-2017,20715.41016,20781.58984,20692.39063,20775.59961,20775.59961,310530000
23-02-2017,20817.21094,20840.69922,20746.41016,20810.32031,20810.32031,302110000
24-02-2017,20751.91016,20821.75977,20733.94922,20821.75977,20821.75977,292540000
27-02-2017,20808.71094,20851.33008,20774.75977,20837.43945,20837.43945,256540000
28-02-2017,20833.88086,20841.24023,20781.21094,20812.24023,20812.24023,339210000
01-03-2017,20957.28906,21169.10938,20957.28906,21115.55078,21115.55078,392820000
02-03-2017,21128.91016,21129.19922,20996.60938,21002.9707,21002.9707,319910000
03-03-2017,21008.75,21039.96094,20953.85938,21005.71094,21005.71094,254420000
06-03-2017,20955.71094,20986.42969,20912.10938,20954.33984,20954.33984,266620000
07-03-2017,20934.89063,20970.53906,20901.25977,20924.75977,20924.75977,274630000
08-03-2017,20940.43945,20951.43945,20835.58008,20855.73047,20855.73047,296780000
09-03-2017,20864.32031,20900.57031,20777.16016,20858.18945,20858.18945,275960000
10-03-2017,20919.00977,20940.28906,20827.66016,20902.98047,20902.98047,315430000
13-03-2017,20899.2793,20926.06055,20845.71094,20881.48047,20881.48047,289260000
14-03-2017,20848.59961,20874,20786.31055,20837.36914,20837.36914,246820000
15-03-2017,20874.7793,20977.4707,20859.59961,20950.09961,20950.09961,306590000
16-03-2017,20969.26953,21000.10938,20893.5,20934.55078,20934.55078,264360000
17-03-2017,20965.36914,20980.50977,20911.07031,20914.61914,20914.61914,535280000
20-03-2017,20916.26953,20955.44922,20885.69922,20905.85938,20905.85938,253610000
21-03-2017,20956.33008,20970.03906,20653.25977,20668.00977,20668.00977,369320000
22-03-2017,20640.41992,20686.21094,20578.94922,20661.30078,20661.30078,325090000
23-03-2017,20645.07031,20757.89063,20618.61914,20656.58008,20656.58008,280050000
24-03-2017,20674.44922,20718.33008,20529.66992,20596.7207,20596.7207,292980000
27-03-2017,20488.34961,20578.46094,20412.80078,20550.98047,20550.98047,269380000
